person_id,start,end,government,role
i-4yKLYX6bdK5Z7rBVKCN1RT,1872-12-17,1876-03-20,Regeringen Adlercreutz,utrikesstatsminister
i-4yKLYX6bdK5Z7rBVKCN1RT,1872-12-17,1876-03-20,Regeringen Carleson,utrikesstatsminister
i-nScanqUU78nhbW9ef8XLW,1874-09-28,1875-05-11,Regeringen Carleson,finansminister
i-FhLSLTTgMvsYGQ25DUwcvz,1874-12-23,1880-04-19,Regeringen Carleson,sjöförsvarsminister
i-FhLSLTTgMvsYGQ25DUwcvz,1874-12-23,1880-04-19,Regeringen De Geer d.ä. II,sjöförsvarsminister
i-FhLSLTTgMvsYGQ25DUwcvz,1874-12-23,1880-04-19,Regeringen De Geer d.ä. III,sjöförsvarsminister
i-M6HZSzErrkvRs1tuZi7K48,1875,1876,Regeringen De Geer d.ä. II,justitiestatsminister
i-2ehtmACUZPNJMNnS5o3dYB,1875-05-11,1879-06-06,Regeringen De Geer d.ä. II,konsultativt statsråd
i-4vNUD3c1Zrcuq5QuVbNmhB,1875-05-11,1878-11-01,Regeringen De Geer d.ä. II,ecklesiastikminister
i-DZAnqjUMmj8qFZsvGfjxRv,1875-05-11,1880-04-19,Regeringen De Geer d.ä. II,civilminister
i-MTzYDq8SmLi323wQgnM8TR,1875-05-11,1880-12-07,Regeringen De Geer d.ä. II,finansminister
i-2ehtmACUZPNJMNnS5o3dYB,1875-05-11,1879-06-06,Regeringen De Geer d.ä. III,konsultativt statsråd
i-4vNUD3c1Zrcuq5QuVbNmhB,1875-05-11,1878-11-01,Regeringen De Geer d.ä. III,ecklesiastikminister
i-DZAnqjUMmj8qFZsvGfjxRv,1875-05-11,1880-04-19,Regeringen De Geer d.ä. III,civilminister
i-MTzYDq8SmLi323wQgnM8TR,1875-05-11,1880-12-07,Regeringen De Geer d.ä. III,finansminister
i-MTzYDq8SmLi323wQgnM8TR,1875-05-11,1880-12-07,Regeringen Posse,finansminister
